ADM1_EN,ADM1_UA,ADM1_RU,ADM1_PCODE,ADM0_EN,ADM0_UA,ADM0_RU,ADM0_PCODE,AREA_SQKM,ADM1_POLYGON_PARTS,ADM2_COUNT,ADM3_COUNT,ADM4_COUNT,ORIENTATION,ADM1_RP_LAT,ADM1_RP_LON,ADM2_FAO_PCODE,ADM2_FAO_EN,ADM2_UNHCR_PCODE,ADM2_UNHCR_NAME,CODETOPO,ADM1_TYPE_EN,ADM_TYPE_UA,KOATUU,Minrehion
Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,25558.68945,139,10,297,1050,landscape,45.27095169,34.21768179,UA01,Avtonomna Respublika Krym,23UKR001,Avtonomna Respublika Krym,81200000,Oblast,Область,0100000000,UA01000000000013043
Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,26491.0918,1,6,63,1503,portrait,48.9204127,28.68555719,UA05,Vinnytska,23UKR005,Vinnytska,81200000,Oblast,Область,0500000000,UA05000000000010236
Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,20145.41992,1,4,54,1087,portrait,51.19082902,24.87041451,UA07,Volynska,23UKR007,Volynska,81200000,Oblast,Область,0700000000,UA07000000000024379
Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,31910.9375,1,7,86,1500,landscape,48.45732336,34.80234992,UA12,Dnipropetrovska,23UKR012,Dnipropetrovska,81200000,Oblast,Область,1200000000,UA12000000000090473
Donetska,Донецька,Донецкая,UA14,Ukraine,Україна,Украина,UA,26499.80273,1,8,66,1298,portrait,48.04731497,37.6741199,UA14,Donetska,23UKR014,Donetska,81200000,Oblast,Область,1400000000,UA14000000000091971
Zhytomyrska,Житомирська,Житомирская,UA18,Ukraine,Україна,Украина,UA,29831.73438,1,4,66,1668,portrait,50.63938138,28.47556688,UA18,Zhytomyrska,23UKR018,Zhytomyrska,81200000,Oblast,Область,1800000000,UA18000000000041385
Zakarpatska,Закарпатська,Закарпатская,UA21,Ukraine,Україна,Украина,UA,12758.57715,1,6,64,608,landscape,48.4036198,23.27591388,UA21,Zakarpatska,23UKR021,Zakarpatska,81200000,Oblast,Область,2100000000,UA21000000000011690
Zaporizka,Запорізька,Запорожская,UA23,Ukraine,Україна,Украина,UA,27180.29102,13,5,67,950,landscape,47.2670072,35.70000553,UA23,Zaporizka,23UKR023,Zaporizka,81200000,Oblast,Область,2300000000,UA23000000000064947
Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,Ukraine,Україна,Украина,UA,13933.16602,1,6,62,805,portrait,48.70165698,24.61942916,UA26,Ivano-Frankivska,23UKR026,Ivano-Frankivska,81200000,Oblast,Область,2600000000,UA26000000000069363
Kyivska,Київська,Киевская,UA32,Ukraine,Україна,Украина,UA,28147.08398,7,8,70,1182,portrait,49.95423228,30.40499528,UA32,Kyivska,23UKR032,Kyivska,81200000,Oblast,Область,3200000000,UA32000000000030281
Kirovohradska,Кіровоградська,Кировоградская,UA35,Ukraine,Україна,Украина,UA,24574.78711,1,4,49,1027,landscape,48.47227671,32.08175027,UA35,Kirovohradska,23UKR035,Kirovohradska,81200000,Oblast,Область,3500000000,UA35000000000016081
Luhanska,Луганська,Луганская,UA44,Ukraine,Україна,Украина,UA,26687.94531,1,8,37,926,portrait,48.9855183,39.01773069,UA44,Luhanska,23UKR044,Luhanska,81200000,Oblast,Область,4400000000,UA44000000000018893
Lvivska,Львівська,Львовская,UA46,Ukraine,Україна,Украина,UA,21823.91797,1,7,73,1927,portrait,49.71736367,23.91660016,UA46,Lvivska,23UKR046,Lvivska,81200000,Oblast,Область,4600000000,UA46000000000026241
Mykolaivska,Миколаївська,Николаевская,UA48,Ukraine,Україна,Украина,UA,24016.7168,6,4,52,911,landscape,47.32513478,31.9328185,UA48,Mykolaivska,23UKR048,Mykolaivska,81200000,Oblast,Область,4800000000,UA48000000000039575
Odeska,Одеська,Одесская,UA51,Ukraine,Україна,Украина,UA,33348.54688,3,7,91,1174,portrait,46.93749438,30.44887195,UA51,Odeska,23UKR051,Odeska,81200000,Oblast,Область,5100000000,UA51000000000030770
Poltavska,Полтавська,Полтавская,UA53,Ukraine,Україна,Украина,UA,28722.99609,1,4,60,1839,landscape,49.73233922,33.77861246,UA53,Poltavska,23UKR053,Poltavska,81200000,Oblast,Область,5300000000,UA53000000000028050
Rivnenska,Рівненська,Ровенская,UA56,Ukraine,Україна,Украина,UA,20057.44336,1,4,64,1026,portrait,50.95489926,26.59275517,UA56,Rivnenska,23UKR056,Rivnenska,81200000,Oblast,Область,5600000000,UA56000000000066151
Sumska,Сумська,Сумская,UA59,Ukraine,Україна,Украина,UA,23842.17383,1,5,51,1489,portrait,51.01631515,33.98908074,UA59,Sumska,23UKR059,Sumska,81200000,Oblast,Область,5900000000,UA59000000000057109
Ternopilska,Тернопільська,Тернопольская,UA61,Ukraine,Україна,Украина,UA,13833.40234,1,3,55,1058,portrait,49.40182495,25.64826536,UA61,Ternopilska,23UKR061,Ternopilska,81200000,Oblast,Область,6100000000,UA61000000000060328
Kharkivska,Харківська,Харьковская,UA63,Ukraine,Україна,Украина,UA,31435.10156,1,7,56,1751,landscape,49.61499032,36.50491022,UA63,Kharkivska,23UKR063,Kharkivska,81200000,Oblast,Область,6300000000,UA63000000000041885
Khersonska,Херсонська,Херсонская,UA65,Ukraine,Україна,Украина,UA,26657.20313,4,5,49,696,landscape,46.67277916,33.52476149,UA65,Khersonska,23UKR065,Khersonska,81200000,Oblast,Область,6500000000,UA65000000000030969
Khmelnytska,Хмельницька,Хмельницкая,UA68,Ukraine,Україна,Украина,UA,20627.52539,1,3,60,1451,portrait,49.50734557,26.9296266,UA68,Khmelnytska,23UKR068,Khmelnytska,81200000,Oblast,Область,6800000000,UA68000000000099709
Cherkaska,Черкаська,Черкасская,UA71,Ukraine,Україна,Украина,UA,20939.33398,1,4,66,854,landscape,49.26004591,31.35238,UA71,Cherkaska,23UKR071,Cherkaska,81200000,Oblast,Область,7100000000,UA71000000000010357
Chernivetska,Чернівецька,Черновицкая,UA73,Ukraine,Україна,Украина,UA,8094.740723,1,3,52,417,landscape,48.26819792,25.97702081,UA73,Chernivetska,23UKR073,Chernivetska,81200000,Oblast,Область,7300000000,UA73000000000044923
