ADM2_EN,ADM2_UA,ADM2_RU,ADM2_PCODE,ADM1_EN,ADM1_UA,ADM1_RU,ADM1_PCODE,ADM0_EN,ADM0_UA,ADM0_RU,ADM0_PCODE,AREA_SQKM,ADM2_POLYGON_PARTS,ADM3_COUNT,ADM4_COUNT,ADM2_RP_LAT,ADM2_RP_LON,ORIENTATION,ADM2_FAO_PCODE,ADM2_FAO_EN,ADM2_UNHCR_PCODE,ADM2_UNHCR_NAME,CODETOPO,ADM2_TYPE_EN,ADM2_TYPE_UA,KOATUU,Minrehion
Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2381.94751,1,18,116,44.65944872,33.83442735,landscape,UA0102,Bakhchysaraiskyi,23UKR001002,Bakhchysaraiskyi,81300000,Region,Район,0120400000,UA01020000000022387
Bilohirskyi,Білогірський,Белогорский,UA0104,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2929.519531,17,38,138,45.06478360,34.57573835,portrait,UA0104,Bilohirskyi,23UKR001004,Bilohirskyi,81300000,Region,Район,0120700000,UA01040000000069938
Dzhankoiskyi,Джанкойський,Джанкойский,UA0106,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2173.963135,94,29,114,45.73860446,34.38241753,portrait,UA0106,Dzhankoiskyi,23UKR001006,Dzhankoiskyi,81300000,Region,Район,0121100000,UA01060000000028159
Yevpatoriiskyi,Євпаторійський,Евпаторийский,UA0108,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,3870.14502,1,40,118,45.35118518,33.21824533,landscape,UA0108,Yevpatoriiskyi,23UKR001008,Yevpatoriiskyi,81300000,Region,Район,новий,UA01080000000090798
Kerchynskyi,Керченський,Керченский,UA0110,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,3025.659424,8,28,69,45.25187091,36.02401743,landscape,UA0110,Kerchynskyi,23UKR001010,Kerchynskyi,81300000,Region,Район,новий,UA01100000000047924
Krasnohvardiiskyi,Красногвардійський,Красногвардейский,UA0112,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,3247.569092,1,37,126,45.49201626,34.06314049,landscape,UA0112,Kurmanskyi,23UKR001012,Kurmanskyi,81300000,Region,Район,новий,UA01120000000061837
Krasnoperekopskyi,Красноперекопський,Красноперекопский,UA0114,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2476.466064,6,27,84,45.81612117,33.62788292,portrait,UA0114,Perekopskyi,23UKR001014,Perekopskyi,81300000,Region,Район,0122300000,UA01140000000010124
Simferopolskyi,Сімферопольський,Симферопольский,UA0116,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,1854.903687,1,24,115,44.98377359,34.05975520,landscape,UA0116,Simferopolskyi,23UKR001016,Simferopolskyi,81300000,Region,Район,новий,UA01160000000090126
Feodosiiskyi,Феодосійський,Феодосийский,UA0118,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2709.414307,19,40,112,45.18107900,35.10586732,portrait,UA0118,Feodosiiskyi,23UKR001018,Feodosiiskyi,81300000,Region,Район,новий,UA01180000000068971
Yaltynskyi,Ялтинський,Ялтинский,UA0120,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,889.1004639,1,16,58,44.66375540,34.33163013,landscape,UA0120,Yaltynskyi,23UKR001020,Yaltynskyi,81300000,Region,Район,новий,UA01200000000063976
Vinnytskyi,Вінницький,Винницкий,UA0502,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,6890.972656,1,16,410,49.17068567,28.84011642,landscape,UA0502,Vinnytskyi,23UKR005002,Vinnytskyi,81300000,Region,Район,0520600000,UA05020000000026686
Haisynskyi,Гайсинський,Гайсинский,UA0504,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,5676.53418,1,14,264,48.55752077,29.51830312,portrait,UA0504,Haisynskyi,23UKR005004,Haisynskyi,81300000,Region,Район,0520800000,UA05040000000050292
Zhmerynskyi,Жмеринський,Жмеринский,UA0506,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,3145.972412,1,8,216,48.94950910,27.91719775,landscape,UA0506,Zhmerynskyi,23UKR005006,Zhmerynskyi,81300000,Region,Район,0521000000,UA05060000000061926
Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,UA0508,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,3221.109375,1,7,195,48.49386503,27.98241239,portrait,UA0508,Mohyliv-Podilskyi,23UKR005008,Mohyliv-Podilskyi,81300000,Region,Район,0522600000,UA05080000000040234
