ADM3_EN,ADM3_UA,ADM3_RU,ADM3_PCODE,ADM2_EN,ADM2_UA,ADM2_RU,ADM2_PCODE,ADM1_EN,ADM1_UA,ADM1_RU,ADM1_PCODE,ADM0_EN,ADM0_UA,ADM0_RU,ADM0_PCODE,AREA_SQKM,ADM3_PARTS,ADM4_COUNT,ORIENTATION,ADM3_RP_LAT,ADM3_RP_LON,CODETOPO,ADM3_TYPE_EN,ADM3_TYPE_UA,RAY_ID,KOATUU,Minrehion
Aromatnenska,Ароматненська,Ароматненский,UA0102003,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,89.95320516,1,5,landscape,33.84020707,44.80935611,81400000,Council,Рада,0120400000,0120480400,UA01020030000085835
Bakhchysaraiska,Бахчисарайська,Бахчисарайский,UA0102005,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,55.47641045,2,2,landscape,33.89278354,44.73316277,81400000,Council,Рада,0120400000,0120410100,UA01020050000056842
Verkhorichenska,Верхоріченська,Верхореченский,UA0102009,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,358.4268279,1,6,landscape,34.09338749,44.66787295,81400000,Council,Рада,0120400000,0120480800,UA01020090000085519
Vilinska,Вілінська,Вилинский,UA0102011,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,51.0274218,1,2,landscape,33.67936065,44.8470933,81400000,Council,Рада,0120400000,0120481300,UA01020110000025392
Holubynska,Голубинська,Голубинский,UA0102013,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,212.5918226,1,9,portrait,33.93466845,44.52354032,81400000,Council,Рада,0120400000,0120481900,UA01020130000011846
Dolynnenska,Долинненська,Долинненский,UA0102015,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,52.79486953,1,3,portrait,33.75405913,44.72655921,81400000,Council,Рада,0120400000,0120482200,UA01020150000013553
Zaliznychnenska,Залізничненська,Железнодорожненский,UA0102017,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,55.12687823,1,7,landscape,33.82238251,44.69702901,81400000,Council,Рада,0120400000,0120482500,UA01020170000026113
Zelenivska,Зеленівська,Зеленовский,UA0102019,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,112.8349619,1,6,landscape,34.07178582,44.55853558,81400000,Council,Рада,0120400000,0120482900,UA01020190000077808
Kashtanivska,Каштанівська,Каштановский,UA0102025,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,48.86847128,1,4,portrait,33.75504434,44.87023126,81400000,Council,Рада,0120400000,0120483600,UA01020250000083187
Krasnomatska,Красномацька,Красномакский,UA0102027,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,48.53109385,1,4,landscape,33.76109268,44.6330058,81400000,Council,Рада,0120400000,0120483900,UA01020270000095791
Kuibyshevska,Куйбишевська,Куйбышевский,UA0102029,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,111.8402201,1,6,landscape,33.87653213,44.63090958,81400000,Council,Рада,0120400000,0120455300,UA01020290000023695
Pishchanivska,Піщанівська,Песчановский,UA0102033,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,26.60231661,1,2,portrait,33.6297011,44.88784699,81400000,Council,Рада,0120400000,0120484400,UA01020330000026857
Plodivska,Плодівська,Плодовский,UA0102035,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,48.00966619,1,5,portrait,33.83442669,44.87909261,81400000,Council,Рада,0120400000,0120484600,UA01020350000012924
